Step.Sum
1021088,57
1021087,55
1021086,68
1021085,66
1021084,80
1021083,61
1021082,57
1021081,81
1021080,62
1021079,76
1021078,62
1021077,40
1021076,86
1021075,75
1021074,80
1021073,80
1021072,89
1021071,73
1021070,52
1021069,57
1021068,87
1021067,55
1021066,75
1021065,90
1021064,86
1021063,48
1021062,87
1021061,71
1021060,79
1021059,75
1021058,118
1021057,98
1021056,116
1021055,86
1021054,76
1021053,59
1021052,64
1021051,65
1021050,95
1021049,68
1021048,38
1021047,63
1021046,104
1021045,54
1021044,76
1021043,78
1021042,51
1021041,95
1021040,65
1021039,85
1021038,69
1021037,81
1021036,68
1021035,72
1021034,73
1021033,65
1021032,62
1021031,32
1021030,72
1021029,67
1021028,66
1021027,94
1021026,85
1021025,55
1021024,48
1021023,111
1021022,101
1021021,91
1021020,82
1021019,89
1021018,66
1021017,58
1021016,71
1021015,58
1021014,66
1021013,66
1021012,28
1021011,77
1021010,81
1021009,107
1021008,91
1021007,62
1021006,67
1021005,84
1021004,43
1021003,66
1021002,75
1021001,75
1021000,84
1020999,82
1020998,53
1020997,65
1020996,66
1020995,72
1020994,59
1020993,72
1020992,103
1020991,84
1020990,84
1020989,46
1020988,65
1020987,28
1020986,78
1020985,43
1020984,91
1020983,93
1020982,75
1020981,46
1020980,69
1020979,69
1020978,54
1020977,44
1020976,88
1020975,50
1020974,35
1020973,65
1020972,56
1020971,76
1020970,74
1020969,61
1020968,76
1020967,87
1020966,73
1020965,78
1020964,61
1020963,79
1020962,59
1020961,81
1020960,93
1020959,55
1020958,73
1020957,100
1020956,86
1020955,80
1020954,78
1020953,52
1020952,33
1020951,87
1020950,69
1020949,35
1020948,89
1020947,87
1020946,57
1020945,68
1020944,85
1020943,39
1020942,52
1020941,79
1020940,66
1020939,87
1020938,56
1020937,78
1020936,42
1020935,57
1020934,130
1020933,106
1020932,83
1020931,82
1020930,41
1020929,84
1020928,103
1020927,65
1020926,75
1020925,66
1020924,83
1020923,80
1020922,87
1020921,71
1020920,88
1020919,84
1020918,102
1020917,95
1020916,94
1020915,29
1020914,66
1020913,52
1020912,52
1020911,72
1020910,92
1020909,46
1020908,79
1020907,88
1020906,77
1020905,105
1020904,110
1020903,73
1020902,77
1020901,99
1020900,84
1020899,102
1020898,78
1020897,74
1020896,84
1020895,84
1020894,80
1020893,56
1020892,90
1020891,73
1020890,62
1020889,85
1020888,74
1020887,78
1020886,82
1020885,79
1020884,62
1020883,88
1020882,62
1020881,51
1020880,77
1020879,80
1020878,52
1020877,58
1020876,63
1020875,64
1020874,69
1020873,81
1020872,81
1020871,94
1020870,83
1020869,74
1020868,87
1020867,54
1020866,80
1020865,94
1020864,45
1020863,59
1020862,66
1020861,88
1020860,65
1020859,50
1020858,82
1020857,59
1020856,64
1020855,97
1020854,54
1020853,97
1020852,85
1020851,71
1020850,47
1020849,81
1020848,56
1020847,99
1020846,89
1020845,78
1020844,79
1020843,82
1020842,98
1020841,99
1020840,32
1020839,72
1020838,48
1020837,55
1020836,60
1020835,92
1020834,68
1020833,67
1020832,78
1020831,80
1020830,85
1020829,91
1020828,85
1020827,80
1020826,61
1020825,82
1020824,88
1020823,52
1020822,65
1020821,72
1020820,68
1020819,58
1020818,66
1020817,67
1020816,98
1020815,71
1020814,53
1020813,92
1020812,71
1020811,106
1020810,77
1020809,87
1020808,65
1020807,69
1020806,81
1020805,83
1020804,89
1020803,60
1020802,86
1020801,87
1020800,60
1020799,61
1020798,82
1020797,99
1020796,46
1020795,77
1020794,93
1020793,72
1020792,49
1020791,66
1020790,44
1020789,64
1020788,63
1020787,61
1020786,58
1020785,55
1020784,59
1020783,89
1020782,59
1020781,40
1020780,99
1020779,92
1020778,70
1020777,119
1020776,97
1020775,73
1020774,66
1020773,55
1020772,85
1020771,102
1020770,68
1020769,59
1020768,72
1020767,70
1020766,67
1020765,67
1020764,88
1020763,67
1020762,60
1020761,69
1020760,82
1020759,79
1020758,77
1020757,52
1020756,77
1020755,62
1020754,80
1020753,68
1020752,77
1020751,94
1020750,77
1020749,96
1020748,73
1020747,50
1020746,95
1020745,77
1020744,78
1020743,71
1020742,107
1020741,101
1020740,84
1020739,67
1020738,73
1020737,62
1020736,84
1020735,53
1020734,82
1020733,43
1020732,73
1020731,65
1020730,93
1020729,46
1020728,73
1020727,61
1020726,81
1020725,89
