1021088	2403120414	57
1021087	0501102316	55
1021086	0907202210	68
1021085	2426050803	66
1021084	1213192016	80
1021083	0422270206	61
1021082	2110120806	57
1021081	2420021025	81
1021080	0318151610	62
1021079	1507282006	76
1021078	1307230316	62
1021077	0123060802	40
1021076	1622022125	86
1021075	0815211714	75
1021074	2521022012	80
1021073	2827080611	80
1021072	0312271928	89
1021071	1523221003	73
1021070	0916052002	52
1021069	0604200522	57
1021068	1915240227	87
1021067	2313011107	55
1021066	0624220518	75
1021065	0925161426	90
1021064	2616022517	86
1021063	0401160225	48
1021062	0608232426	87
1021061	0216250424	71
1021060	2308180228	79
1021059	1708132611	75
1021058	2825192620	118
1021057	2818262006	98
1021056	1918252628	116
1021055	2707152314	86
1021054	0511171627	76
1021053	1307110820	59
1021052	2202181210	64
1021051	1920051803	65
1021050	2116131728	95
1021049	2019160310	68
1021048	1808020307	38
1021047	2209200111	63
1021046	0922252820	104
1021045	0616120515	54
1021044	1805270917	76
1021043	1917082509	78
1021042	0712040820	51
1021041	1927160726	95
1021040	0604101728	65
1021039	1625061721	85
1021038	0314202408	69
1021037	1411042725	81
1021036	2610010328	68
1021035	1522012509	72
1021034	2124031609	73
1021033	1311170123	65
1021032	1520060516	62
1021031	1701030605	32
1021030	0609221916	72
1021029	1307241904	67
1021028	1017022611	66
1021027	1425092026	94
1021026	1604282017	85
1021025	0209041426	55
1021024	1804160703	48
1021023	2220231828	111
1021022	2726242202	101
1021021	2518091326	91
1021020	1825110820	82
1021019	2705222312	89
1021018	1102282005	66
1021017	2608150405	58
1021016	2818101302	71
1021015	1023061801	58
1021014	0826120515	66
1021013	0207270822	66
1021012	0311040901	28
1021011	2612250806	77
1021010	2418201603	81
1021009	1214272826	107
1021008	2209052728	91
1021007	0610022321	62
1021006	1911151309	67
1021005	2212211415	84
1021004	2303041102	43
1021003	0220132803	66
1021002	1117281207	75
1021001	2102202408	75
1021000	2818230312	84
1020999	1526211703	82
1020998	1703191004	53
1020997	1315082207	65
1020996	0325221402	66
1020995	0519280713	72
1020994	1804240706	59
1020993	0917042616	72
1020992	1618212523	103
1020991	1516112022	84
1020990	2010142317	84
1020989	1705110409	46
1020988	2313140708	65
1020987	0601140403	28
1020986	2409152010	78
1020985	0102140422	43
1020984	1715272507	91
1020983	2811202410	93
1020982	0422230125	75
1020981	1615100203	46
1020980	0318061626	69
1020979	0622081419	69
1020978	2202042303	54
1020977	0116111006	44
1020976	2702201425	88
1020975	0410082503	50
1020974	1503010907	35
1020973	1527080609	65
1020972	0617032604	56
1020971	2703171811	76
1020970	2711092403	74
1020969	1713260203	61
1020968	1419032317	76
1020967	0322102527	87
1020966	2001042325	73
1020965	2619071214	78
1020964	1106161909	61
1020963	1113221419	79
1020962	0825131201	59
1020961	1217112615	81
1020960	2414042823	93
1020959	0119240506	55
1020958	2609170714	73
1020957	1625232412	100
1020956	0519252809	86
1020955	2701241018	80
1020954	2308281306	78
1020953	0802260115	52
1020952	1309030701	33
1020951	1604272119	87
1020950	2022120213	69
1020949	0524020103	35
1020948	2507082821	89
1020947	1426132212	87
1020946	2521060104	57
1020945	0417141122	68
1020944	1415260624	85
1020943	0416150301	39
1020942	0927070306	52
1020941	1310162119	79
1020940	0405151923	66
1020939	2328100818	87
1020938	0510122702	56
1020937	2816021022	78
1020936	1008050217	42
1020935	1821011502	57
1020934	2524262728	130
1020933	1520182726	106
1020932	2010182708	83
1020931	1323142210	82
1020930	0616070903	41
1020929	2320111218	84
1020928	2724261511	103
1020927	0915162302	65
1020926	2715012012	75
1020925	1913042505	66
1020924	0924270320	83
1020923	2328081011	80
1020922	2720132601	87
1020921	1210210325	71
1020920	1908142621	88
1020919	2813151018	84
1020918	1910262522	102
1020917	1914172223	95
1020916	2324281009	94
1020915	0412030208	29
1020914	0823240407	66
1020913	0510032311	52
1020912	0709012213	52
1020911	1409202603	72
1020910	1812202517	92
1020909	2206010512	46
1020908	0312172522	79
1020907	2624062012	88
1020906	0917122316	77
1020905	2812221825	105
1020904	2423252810	110
1020903	1805252302	73
1020902	2422060916	77
1020901	1513172826	99
1020900	1119200628	84
1020899	2820271413	102
1020898	2604072714	78
1020897	1805212208	74
1020896	1714122516	84
1020895	2019102807	84
1020894	0512172422	80
1020893	0611141510	56
1020892	2604212019	90
1020891	1123092406	73
1020890	0407280617	62
1020889	1509252808	85
1020888	2524130111	74
1020887	0123171027	78
1020886	1118172214	82
1020885	1410192511	79
1020884	0622151207	62
1020883	2607112519	88
1020882	2001041522	62
1020881	0517060221	51
1020880	1706182808	77
1020879	0320121926	80
1020878	1614110704	52
1020877	0106221514	58
1020876	1203062616	63
1020875	0224171011	64
1020874	2126021208	69
1020873	0320142321	81
1020872	1817111322	81
1020871	2716111822	94
1020870	0124111928	83
1020869	1020271106	74
1020868	1821052320	87
1020867	0301231512	54
1020866	1815101126	80
1020865	1817212315	94
1020864	0518140701	45
1020863	2806090313	59
1020862	2403151707	66
1020861	0422082826	88
1020860	2501061716	65
1020859	1703140511	50
1020858	0718191127	82
1020857	2009062301	59
1020856	1310201704	64
1020855	1624222312	97
1020854	1001200716	54
1020853	2402222128	97
1020852	1422280219	85
1020851	0428120225	71
1020850	1305022304	47
1020849	2704112415	81
1020848	1614110609	56
1020847	2725220619	99
1020846	1928270708	89
1020845	2613201603	78
1020844	0725062813	79
1020843	2728021312	82
1020842	2628270413	98
1020841	1618231428	99
1020840	0408060113	32
1020839	0618162111	72
1020838	2412060402	48
1020837	0907181605	55
1020836	2804081406	60
1020835	2318172806	92
1020834	1114180916	68
1020833	2503221205	67
1020832	2018170419	78
1020831	2221231301	80
1020830	2022012715	85
1020829	1323212707	91
1020828	2513042716	85
1020827	1814272001	80
1020826	1411060426	61
1020825	1019042326	82
1020824	2408282305	88
1020823	1226090401	52
1020822	1213061816	65
1020821	0619280514	72
1020820	0723150914	68
1020819	0322071709	58
1020818	0523250310	66
1020817	1024092301	67
1020816	2010212225	98
1020815	2119130117	71
1020814	0211100525	53
1020813	2703211625	92
1020812	1916031122	71
1020811	2314202425	106
1020810	2512100327	77
1020809	2220021528	87
1020808	0124171409	65
1020807	2023071603	69
1020806	0724220127	81
1020805	1824152303	83
1020804	1021220828	89
1020803	1823020908	60
1020802	1705271819	86
1020801	2128170813	87
1020800	1901090724	60
1020799	1910040523	61
1020798	2603271709	82
1020797	1125211923	99
1020796	0307190413	46
1020795	2112170819	77
1020794	1803242523	93
1020793	2514180411	72
1020792	1308042202	49
1020791	1628030712	66
1020790	1104070913	44
